DataSetID|EntitySortOrder|ColumnPosition|AttributeID|AttributeName|AttributeLabel|Description|StorageType|MeasurementScaleDomainID|FormatString|PrecisionDateTime|Enumeration_xml|TextPatternDefinition|Unit|PrecisionNumeric|NumberType|Bounds_xml|MissingValueCode_xml
10|1|11|pressureavg|Pressure_avg|Pressure [db]|Average seawater pressure.|float|ratio|||||decibar|0.001|real|<bounds><minimum exclusive="false">01000</minimum><maximum exclusive="false">01000</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|12|pressurebin|Pressure Bin|Pressure bins [db]|Center of the pressure averaging interval.|float|ratio|||||decibar|0.001|real|<bounds><minimum exclusive="false">01000</minimum><maximum exclusive="false">01000</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|13|temp00|Temperature|T00 [C]|ITS-90, based on International Temperature Scale of 1990.|float|interval|||||celsius|0.0001|real|<bounds><minimum exclusive="false">0100</minimum><maximum exclusive="false">0100</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|14|cond00|Conductivity|Conductivity [S/m]|Conductivity, from primary sensor.|float|ratio|||||siemensPerMeter|0.0001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|15|v0|V0|Voltage_Channel_0|Voltage channel 0, raw data for diagnostic purposes.|float|ratio|||||volt|0.001|real|<bounds><minimum exclusive="false">05</minimum><maximum exclusive="false">05</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|16|v1|V1|Voltage Channel 1|Voltage channel 1, raw data for diagnostic purposes.|float|ratio|||||volt|0.001|real|<bounds><minimum exclusive="false">05</minimum><maximum exclusive="false">05</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|17|v2|V2|Voltage Channel 2|Voltage channel 2, raw data for diagnostic purposes.|float|ratio|||||volt|0.001|real|<bounds><minimum exclusive="false">05</minimum><maximum exclusive="false">05</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|18|descent_rate|Descent_Rate|Descent Rate [m/s]|Descent rate of the CTD package.|float|ratio|||||metersPerSecond|0.01|real|<bounds><minimum exclusive="false">0100</minimum><maximum exclusive="false">0100</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|19|oxygen|Oxygen|Oxygen (ml/l)|Oxygen.||ratio|||||milliliterPerLiter|0.001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|20|fluor|Fluor|Fluorometer|Estimated chl contentration from in-situ fluorometer.|float|ratio|||||volt|0.001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|21|upolyTurbidity|Turbidity|Turbidity (upoly 0?)|User supplied polynomial (used for turbidity in this case).|float|ratio|||||volt|0.001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|22|potentialtemp|Potential_Temperature|potemp [C]|Temperature after the effects of compression have been removed. Defined as the temperature of a parcel of water at the sea surface after it has been raised adiabatically from some depth in the ocean.|float|interval|||||celsius|0.0001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|23|salinity|Salinity|Salinity [PSU]|Salinity calculated according to the "Practical Salinity Scale of 1978".|float|interval|||||dimensionless|0.0001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|24|sigmatheta|Density_Anomaly|Sigma-theta|Sigma-theta. Density anomaly calculated with in situ salinity, potential temperature and pressure=0. sigmatheta = density[kg/m3] - 1000kg/m3. (International Equation of State, Joint Panel on Oceanographic Tables and Standards, 1981).|float|interval|||||kilogramPerCubicMeter|0.0001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|25|sva|Specific_Volume_Anomaly|sva|Difference between the in situ specific volume (m3/kg) of a parcel and specific volume at the same pressure with S=35 and T=0[celsius].|float|interval|||||cubicMeterPerKilogram|0.0001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|26|scans|Scans_Per_Bin|scans/bin|The number of data lines averaged in this bin.|float|ratio|||||number|1|integer||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
6|1|19|wind_velocity|Wind_Velocity|Wind Velocity|Estimated wind velocity at the start time of the transect observation up to 5 Beaufort.|integer|ordinalEnum|||<codeDefinition><code>0</code><definition>0-0.2 m/s</definition></codeDefinition><codeDefinition><code>1</code><definition>0.3-1.5 m/s</definition></codeDefinition><codeDefinition><code>2</code><definition>1.6-3.3 m/s</definition></codeDefinition><codeDefinition><code>3</code><definition>3.4-5.4 m/s</definition></codeDefinition><codeDefinition><code>4</code><definition>5.5-7.9 m/s</definition></codeDefinition><codeDefinition><code>5</code><definition>8.0-10.7 m/s</definition></codeDefinition>||||||
6|1|20|sea_state|Sea_State|Sea State|Estimated sea state at the start time of the transect observation.|integer|ordinalEnum|||<codeDefinition><code>0</code><definition>Calm</definition></codeDefinition><codeDefinition><code>1</code><definition>Slight</definition></codeDefinition><codeDefinition><code>2</code><definition>Moderate</definition></codeDefinition><codeDefinition><code>3</code><definition>Rough</definition></codeDefinition>||||||
6|2|14|wind velocity2|Wind_Velocity|Wind Velocity|Estimated wind velocity at the start time of the transect observation up to 5 Beaufort.|integer|ordinalEnum|||<codeDefinition><code>0</code><definition>0-0.2 m/s</definition></codeDefinition><codeDefinition><code>1</code><definition>0.3-1.5 m/s</definition></codeDefinition><codeDefinition><code>2</code><definition>1.6-3.3 m/s</definition></codeDefinition><codeDefinition><code>3</code><definition>3.4-5.4 m/s</definition></codeDefinition><codeDefinition><code>4</code><definition>5.5-7.9 m/s</definition></codeDefinition><codeDefinition><code>5</code><definition>8.0-10.7 m/s</definition></codeDefinition>||||||
6|2|15|sea state2|Sea_State|Sea State|Estimated sea state at the start time of the transect observation.|integer|ordinalEnum|||<codeDefinition><code>0</code><definition>Calm</definition></codeDefinition><codeDefinition><code>1</code><definition>Slight</definition></codeDefinition><codeDefinition><code>2</code><definition>Moderate</definition></codeDefinition><codeDefinition><code>3</code><definition>Rough</definition></codeDefinition>||||||
2003|2|4|1329175706000|Censor|Censorship|Censorship as used in survival analysis. At the end of the experiment (hour 48), an individual was either dead (censor 0) or still alive (censor 1).||ordinalEnum|||<codeDefinition><code>1</code><definition>Individual was dead at the end of the experiment</definition></codeDefinition><codeDefinition><code>0</code><definition>Individual was still alive at the end of the experiment</definition></codeDefinition>||||||
5|1|4|last_day|last_day|Last Day|Last day of month|Integer|dateTime|DD|nominalDay|||||||
5|2|3|first_day2|first_day|First Day|Day of month of first day of 8-day period|Integer|dateTime|DD|nominalDay|||||||
10|2|7|Latitude|Latitude|Latitude Nominal (degN)|Nominal Latitude at the Location. North is positive. Required by ODV.|float|ratio|||||degree|1e-05|real|<bounds><minimum exclusive="false">-9090</minimum><maximum exclusive="false">-9090</maximum></bounds>|
10|2|8|Longitude|Longitude|Longitude Nominal (degE)|Nominal Longitude at the Location. East is positive. Required by ODV.|float|ratio|||||degree|1e-05|real|<bounds><minimum exclusive="false">-180180</minimum><maximum exclusive="false">-180180</maximum></bounds>|
10|2|9|Bottom Depth|Bottom_Depth|Bottom Depth|Bottom Depth or Instrument Depth. Positive is down. Required by ODV.|float|ratio|||||meter|1|real|<bounds><minimum exclusive="false">0</minimum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|2|10|Sample Depth|Sample_Depth|Sample Depth|Depth the Niskin bottle was closed. Positive is down.|float|ratio|||||meter|1|real|<bounds><minimum exclusive="false">01000</minimum><maximum exclusive="false">01000</maximum></bounds>|
2004|3|4|SeaFET_pH_CO2CALC.date|Date|Date|Date sample was collected in YYYY-MM-DD format recorded on instrument.|date|dateTime|YYYY-MM-DD|nominalDay|||||||
10|2|12|pressure bin|Pressure_bins|Pressure bins [db]|Center of the pressure averaging interval. Taken from CTD file.|float|ratio|||||decibar|0.1|real|<bounds><minimum exclusive="false">01000</minimum><maximum exclusive="false">01000</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|2|13|Temperature|Temperature|Temperature|ITS-90, based on International Temperature Scale of 1990. Taken from CTD column T00.|float|interval|||||celsius|0.001|real|<bounds><minimum exclusive="false">0100</minimum><maximum exclusive="false">0100</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|2|14|Salinity|Salinity|Salinity [PSU]|Salinity calculated according to the "Practical Salinity Scale of 1978" [PSU]. Taken from CTD file.|float|interval|||||dimensionless|0.0001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|2|15|sigma theta|Sigma_theta|Density Anomaly|Sigma-theta. Density anomaly calculated with in situ salinity, potential temperature and pressure=0. sigmatheta = density[kg/m3] - 1000kg/m3. (International Equation of State, Joint Panel on Oceanographic Tables and Standards, 1981). Taken from CTD file.|float|interval|||||kilogramPerCubicMeter|0.001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|2|16|Fluorescence|Fluorescence|Fluorescence|Estimated chl contentration from in-situ fluorometer. Taken from CTD file.|float|ratio|||||volt|0.001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|17|Turbidity|Turbidity|Turbidity|User supplied polynomial (used for turbidity in this case). upoly Taken from CTD file.|float|ratio|||||volt|0.001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|18|Phosphate|Phosphate|Phosphate|Concentration of reactive phosphate PO4.|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|19|Silicate|Silicate|Silicate|Concentration of reactive silicate, H3SIO4, or Silicic Acid.|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|20|Nitrite|Nitrite|Nitrite|Concentration of Nitrite, NO2|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|21|Nitrite Nitrate|Nitrite_and_Nitrate|Nitrite+Nitrate|Concentration of the sum of Nitrite and Nitrate, NO2+NO3|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|22|Particulate Organic Carbon|POC|Particulate Organic Carbon|Concentration of Particulate Organic Carbon POC from CHN analysis. This is POC-corrected.|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|23|Particulate Organic Nitrogen|PON|Particulate Organic Nitrogen|Concentration of Particulate Organic Nitrogen PON from CHN analysis. This is PON-corrected.|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|24|Total Organic Carbon|TOC|Total Organic Carbon|Concentration of Total Organic Carbon.|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode><missingValueCode><code>NA</code><codeExplanation>sample collected but not analyzed yet</codeExplanation></missingValueCode>
10|2|25|TOC_stdev|TOC_SD|TOC standard deviation|Standard deviation of concentration of Total Organic Carbon.|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode><missingValueCode><code>NA</code><codeExplanation>sample collected but not analyzed yet</codeExplanation></missingValueCode>
10|2|26|Total Alkalinity|Alkalinity|Total Alkalinity|Number of moles of hydrogen ion equivalent to the excess of proton acceptors in one kilogram of sea water.|float|ratio|||||micromolesPerKilogram|0.1|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode><missingValueCode><code>NA</code><codeExplanation>sample collected but not analyzed yet</codeExplanation></missingValueCode>
17|3|5|table_3.F_value|F_value|F value|Statistical measure.|float|ratio|||||dimensionless|0.01|real||
5008|2|4|date|Date|Date|Date (yyyy-mm-dd) that data was collected.|string|dateTime|YYYY-MM-DD|nominalDay|||||||
10|2|27|Dissolved Inorganic Carbon|DIC|Dissolved Inorganic Carbon|Concentration of Dissolved Inorganic Carbon.|float|ratio|||||micromolesPerKilogram|0.1|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode><missingValueCode><code>NA</code><codeExplanation>sample collected but not analyzed yet</codeExplanation></missingValueCode>
10|2|28|Chlorophyll a|Chlorophyll_a|Chlorophyll a|Concentration of Chlorophyll-a.|float|ratio|||||microgramsPerLiter|0.001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|29|Phaeopigments|Phaeopigments|Phaeopigments|Concentration of Phaeopigments.|float|ratio|||||microgramsPerLiter|0.001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|30|Water Column Primary Production|Primary_Production|Water Column Primary Production|Water Column Primary Production.|float|ratio|||||milligramsPerCubicMeterPerDay|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|31|Bacteria Abundance|Bacteria_Abundance|Bacteria Abundance|Mean Bacterial Abundance as measured by DAPI fluorescent stain on slides. Discontinued after 2007.|float|ratio|||||numberPerMilliliter|1000|real|<bounds><minimum exclusive="false">0</minimum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|32|Stained Cell Abundance|Stained_Cell_Abundance|Stained Cell Abundance|Stained Cell Abundance as measured with Flow Cytometry|float|ratio|||||numberPerMilliliter|1000|real|<bounds><minimum exclusive="false">0</minimum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
10|2|33|Autofluorescent Cell Abundance|Autofluorescent_Cell_Abundance|Autofluorescent Cell Abundance|Autofluorescent Cell Abundance as measured with Flow Cytometry|float|ratio|||||numberPerMilliliter|10|real|<bounds><minimum exclusive="false">0</minimum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode><missingValueCode><code>NA</code><codeExplanation>sample collected but not analyzed yet</codeExplanation></missingValueCode>
7001|1|2|time_start_1|Time_Start|Start Time|Time of day survey occurred.|string|dateTime|hh:mm|1 second|||||||<missingValueCode><code>NA</code><codeExplanation>value not recorded or not available</codeExplanation></missingValueCode>
7002|2|7|time_beg_1|Time_Beg|Beginning Time|Beginning time for observations.|string|dateTime|hh:mm:ss|1 second|||||||<missingValueCode><code>NA</code><codeExplanation>value not recorded or not available</codeExplanation></missingValueCode>
2004|1|7|SeaFET_pH_calculations.GMT|GMT|Greenwich Mean Time|Greenwich mean time. In this dataset UTC is set on the instrument so this column is not used.|string|dateTime|YYYY-MM-DD hh:mm|1 minute|||||||<missingValueCode><code>NA</code><codeExplanation>Data was not recorded.</codeExplanation></missingValueCode>
1034|1|6|Latitude|Latitude|Latitude Nominal (degN)|Nominal Latitude at the Location. North is positive.|float|ratio|||||degree|1e-05|real|<bounds><minimum exclusive="false">-9090</minimum><maximum exclusive="false">-9090</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
1034|1|7|Longitude|Longitude|Longitude Nominal (degE)|Nominal Longitude at the Location. East is positive.|float|ratio|||||degree|1e-05|real|<bounds><minimum exclusive="false">-180180</minimum><maximum exclusive="false">-180180</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
1034|1|8|Bottom_Depth|Bottom_Depth|Bottom Depth|Bottom Depth.|float|ratio|||||meter|1|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
1034|1|9|Sample_Depth|Sample_Depth|Sample Depth|Depth the Niskin bottle was closed or the Falcon tube was filled. Positive is down.|float|ratio|||||meter|1|real|<bounds><minimum exclusive="false">01000</minimum><maximum exclusive="false">01000</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
1034|1|11|Phosphate|Phosphate|Phosphate|Concentration of reactive phosphate PO4.|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
1034|1|12|Silicate|Silicate|Silicate|Concentration of reactive silicate, H3SIO4, or Silicic Acid.|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
1034|1|13|Nitrite|Nitrite|Nitrite|Concentration of Nitrite, NO2|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
1034|1|14|Nitrite_Nitrate|Nitrite_and_Nitrate|Nitrite+Nitrate|Concentration of the sum of Nitrite and Nitrate, NO2+NO3|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
1034|1|4|Date|Date|Date|Date of measurement. YYYY-MM-DD|datetime|dateTime|YYYY-MM-DD|1|||||||
1035|1|6|depth_1|sensor_depth|Depth|Depth of thermistor. Positive is down.|float|ratio|||||meter|1|real|<bounds><minimum exclusive="false">0100</minimum><maximum exclusive="false">0100</maximum></bounds>|
1035|1|7|temperature_1|temperature_c|Temperature|Ambient water temperature, measured with thermistor.|float|ratio|||||celsius|0.01|real|<bounds><minimum exclusive="false">550</minimum><maximum exclusive="false">550</maximum></bounds>|
1035|2|6|depth_2|sensor_depth|Depth|Depth of thermistor. Positive is down.|float|ratio|||||meter|1|real|<bounds><minimum exclusive="false">0100</minimum><maximum exclusive="false">0100</maximum></bounds>|
1035|2|7|temperature_2|temperature_c|Temperature|Ambient water temperature, measured with thermistor.|float|ratio|||||celsius|0.01|real|<bounds><minimum exclusive="false">550</minimum><maximum exclusive="false">550</maximum></bounds>|
1035|3|6|depth_3|sensor_depth|Depth|Depth of thermistor. Positive is down.|float|ratio|||||meter|1|real|<bounds><minimum exclusive="false">0100</minimum><maximum exclusive="false">0100</maximum></bounds>|
1035|3|7|temperature_3|temperature_c|Temperature|Ambient water temperature, measured with thermistor.|float|ratio|||||celsius|0.01|real|<bounds><minimum exclusive="false">550</minimum><maximum exclusive="false">550</maximum></bounds>|
1035|4|6|depth_4|sensor_depth|Depth|Depth of thermistor. Positive is down.|float|ratio|||||meter|1|real|<bounds><minimum exclusive="false">0100</minimum><maximum exclusive="false">0100</maximum></bounds>|
1035|4|7|temperature_4|temperature_c|Temperature|Ambient water temperature, measured with thermistor.|float|ratio|||||celsius|0.01|real|<bounds><minimum exclusive="false">550</minimum><maximum exclusive="false">550</maximum></bounds>|
1035|5|6|depth_5|sensor_depth|Depth|Depth of thermistor. Positive is down.|float|ratio|||||meter|1|real|<bounds><minimum exclusive="false">0100</minimum><maximum exclusive="false">0100</maximum></bounds>|
1035|5|7|temperature_5|temperature_c|Temperature|Ambient water temperature, measured with thermistor.|float|ratio|||||celsius|0.01|real|<bounds><minimum exclusive="false">550</minimum><maximum exclusive="false">550</maximum></bounds>|
1035|6|6|depth_6|sensor_depth|Depth|Depth of thermistor. Positive is down.|float|ratio|||||meter|1|real|<bounds><minimum exclusive="false">0100</minimum><maximum exclusive="false">0100</maximum></bounds>|
1035|6|7|temperature_6|temperature_c|Temperature|Ambient water temperature, measured with thermistor.|float|ratio|||||celsius|0.01|real|<bounds><minimum exclusive="false">550</minimum><maximum exclusive="false">550</maximum></bounds>|
1035|7|6|depth_0|sensor_depth|Depth|Depth of thermistor. Positive is down.|float|ratio|||||meter|1|real|<bounds><minimum exclusive="false">0100</minimum><maximum exclusive="false">0100</maximum></bounds>|
1035|7|7|temperature_0|temperature_c|Temperature|Ambient water temperature, measured with thermistor.|float|ratio|||||celsius|0.01|real|<bounds><minimum exclusive="false">550</minimum><maximum exclusive="false">550</maximum></bounds>|
1036|1|1|sample.easting|Easting|Easting|Easting geographic coordinate in UTM zone 6S Datum WGS-84|float|ratio|||||meter|10|real|<bounds><minimum exclusive="false">0</minimum></bounds>|
1036|1|2|sample.northing|Northing|Northing|Northing geographic coordinate in UTM zone 6S Datum WGS-84|float|ratio|||||meter|10|real|<bounds><minimum exclusive="false">0</minimum></bounds>|
1036|1|3|sample.depth|sensor_depth|Depth|Depth; positive is down.|float|ratio|||||meter|0.01|real|<bounds><minimum exclusive="false">0</minimum></bounds>|
1036|2|1|grid.easting|Easting|Easting|Easting geographic coordinate in UTM zone 6S Datum WGS-84|float|ratio|||||meter|10|real|<bounds><minimum exclusive="false">0</minimum></bounds>|
1036|2|2|grid.northing|Northing|Northing|Northing geographic coordinate in UTM zone 6S Datum WGS-84|float|ratio|||||meter|10|real|<bounds><minimum exclusive="false">0</minimum></bounds>|
1036|2|3|grid.depth|sensor_depth|Depth|Depth; positive is down.|float|ratio|||||meter|0.01|real|<bounds><minimum exclusive="false">0</minimum></bounds>|
1037|1|7|bottle.Latitude|Latitude|Latitude Nominal (degN)|Nominal Latitude at the Location. North is positive.|float|ratio|||||degree|1e-05|real|<bounds><minimum exclusive="false">-9090</minimum><maximum exclusive="false">-9090</maximum></bounds>|
1037|1|8|bottle.Longitude|Longitude|Longitude Nominal (degE)|Nominal Longitude at the Location. East is positive.|float|ratio|||||degree|1e-05|real|<bounds><minimum exclusive="false">-180180</minimum><maximum exclusive="false">-180180</maximum></bounds>|
1037|1|9|bottle.Bottom Depth|Bottom_Depth|Bottom Depth|Bottom Depth or Instrument Depth. Positive is down.|float|ratio|||||meter|1|real|<bounds><minimum exclusive="false">0</minimum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
1037|1|10|bottle.Sample Depth|Sample_Depth|Sample Depth|Depth the Niskin bottle was closed. Positive is down.|float|ratio|||||meter|1|real|<bounds><minimum exclusive="false">01000</minimum><maximum exclusive="false">01000</maximum></bounds>|
1037|1|12|bottle.pressure bin|Pressure_bins|Pressure bins [db]|Center of the pressure averaging interval. Taken from CTD file.|float|ratio|||||decibar|0.1|real|<bounds><minimum exclusive="false">01000</minimum><maximum exclusive="false">01000</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
17|3|6|table_3.p_gt_F|p_gt_F|p > F|Statistical measure.|float|ratio|||||dimensionless|0.001|real||
1037|1|13|bottle.Temperature|Temperature|Temperature|ITS-90, based on International Temperature Scale of 1990. Taken from CTD column T00.|float|interval|||||celsius|0.001|real|<bounds><minimum exclusive="false">0100</minimum><maximum exclusive="false">0100</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
1037|1|14|bottle.Salinity|Salinity|Salinity [PSU]|Salinity calculated according to the "Practical Salinity Scale of 1978" [PSU]. Taken from CTD file.|float|interval|||||dimensionless|0.0001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
1037|1|15|bottle.sigma theta|Sigma_theta|Density Anomaly|Sigma-theta. Density anomaly calculated with in situ salinity, potential temperature and pressure=0. sigmatheta = density[kg/m3] - 1000kg/m3. (International Equation of State, Joint Panel on Oceanographic Tables and Standards, 1981). Taken from CTD file.|float|interval|||||kilogramPerCubicMeter|0.001|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
1037|1|16|Phosphate|Phosphate|Phosphate|Concentration of reactive phosphate PO4.|float|ratio|||||micromolesPerLiter|0.01|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point</codeExplanation></missingValueCode>
